timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue,wue
2025-11-13T10:13:32,tbar_fijo,95572f1b-01c8-4a3c-ba15-e45420989c61,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.942017158999988,5.009095144497363e-06,2.5793258938436565e-06,4.5000050625,21.184600383669085,10.0,1.7980085727563138e-06,1.1415009132000032e-05,3.993686030553868e-06,1.7206703735310214e-05,0.0,Chile,CHL,santiago metropolitan,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.8,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1660 Ti with Max-Q Design,-70.6536,-33.4521,3.715057373046875,machine,N,1.0,0.0
2025-11-13T10:13:39,tbar_fijo,9d9cb19d-df33-4eb2-b973-71ed3020b2b1,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.8909471409997425,4.779033946469649e-06,2.52732286527215e-06,4.5000050625,20.645716460906623,10.0,1.733835209312071e-06,1.0831397553999911e-05,3.851189541668039e-06,1.641642230498002e-05,0.0,Chile,CHL,santiago metropolitan,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.8,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1660 Ti with Max-Q Design,-70.6536,-33.4521,3.715057373046875,machine,N,1.0,0.0
2025-11-13T10:13:45,tbar_fijo,54387b69-4049-461f-a082-6ab4aa184a8c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.9019064039994191,4.888634696267488e-06,2.570386579480165e-06,4.5000405,21.158477406446305,10.0,1.747116005152445e-06,1.1165286709999972e-05,3.880508272221859e-06,1.6792910987374276e-05,0.0,Chile,CHL,santiago metropolitan,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.8,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1660 Ti with Max-Q Design,-70.6536,-33.4521,3.715057373046875,machine,N,1.0,0.0
2025-11-13T10:13:52,tbar_fijo,f94401d8-5f42-424b-83cb-d05c46abb369,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.881594762000532,4.70905120616594e-06,2.502691494080918e-06,4.5000050625,20.3592097813483,10.0,1.7223142863522397e-06,1.0627786279999907e-05,3.8259245722227e-06,1.617602513857485e-05,0.0,Chile,CHL,santiago metropolitan,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.8,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1660 Ti with Max-Q Design,-70.6536,-33.4521,3.715057373046875,machine,N,1.0,0.0
2025-11-13T10:13:59,tbar_fijo,a2b9301c-048a-4ebc-b9ff-591e6e6322b5,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.97877801300001,4.9605937070575005e-06,2.5068975268917523e-06,4.505694624,20.189455215211137,10.0,1.84860236914092e-06,1.1090842206000094e-05,4.100652250000773e-06,1.7040096825141786e-05,0.0,Chile,CHL,santiago metropolitan,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.8,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1660 Ti with Max-Q Design,-70.6536,-33.4521,3.715057373046875,machine,N,1.0,0.0
2025-11-13T10:14:06,tbar_fijo,cd9c0b97-b4b6-459e-89ff-55daa32db588,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.9648079479993608,4.873646089772304e-06,2.48046944981815e-06,4.500000000000002,19.889899688036387,10.0,1.8287319449996183e-06,1.085028645800008e-05,4.062405338888514e-06,1.674142374188821e-05,0.0,Chile,CHL,santiago metropolitan,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.8,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1660 Ti with Max-Q Design,-70.6536,-33.4521,3.715057373046875,machine,N,1.0,0.0
2025-11-13T10:14:12,tbar_fijo,e83cc815-492c-45a3-b4e8-a66edd1c1154,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.916551385000276,4.933790703019875e-06,2.574306507842035e-06,4.5000050625,21.17347516022705,10.0,1.765848024077088e-06,1.1259731230000062e-05,3.922446780555017e-06,1.6948026034632167e-05,0.0,Chile,CHL,santiago metropolitan,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.8,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1660 Ti with Max-Q Design,-70.6536,-33.4521,3.715057373046875,machine,N,1.0,0.0
2025-11-13T10:14:19,tbar_fijo,4f94d42b-10ad-4aef-8991-562810084ef1,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.021743475999756,4.831669738434173e-06,2.389853013397213e-06,4.503000564000001,18.670032520916592,10.0,1.900409918748239e-06,1.047834171599986e-05,4.2184794694422735e-06,1.6597231104190374e-05,0.0,Chile,CHL,santiago metropolitan,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.8,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1660 Ti with Max-Q Design,-70.6536,-33.4521,3.715057373046875,machine,N,1.0,0.0
2025-11-13T10:14:26,tbar_fijo,fd19833a-605c-4ef7-b2b9-773c8755c47a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.023133222000069,4.957712072805285e-06,2.450511918292801e-06,4.5000050625,19.497955970234653,10.0,1.887612147311589e-06,1.0949453203999834e-05,4.193132794443954e-06,1.7030198145755376e-05,0.0,Chile,CHL,santiago metropolitan,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.8,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1660 Ti with Max-Q Design,-70.6536,-33.4521,3.715057373046875,machine,N,1.0,0.0
2025-11-13T10:14:33,tbar_fijo,e913a1ee-4977-4ebc-9ac9-4d79a057980c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.921452960000352,4.9394298957363785e-06,2.570674379525521e-06,4.5000010935,21.122001318451968,10.0,1.7717942342962644e-06,1.1260564564000066e-05,3.93503838333547e-06,1.69673971816318e-05,0.0,Chile,CHL,santiago metropolitan,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.8,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1660 Ti with Max-Q Design,-70.6536,-33.4521,3.715057373046875,machine,N,1.0,0.0
